市町村コード,都道府県名,市町村名,地域,年度,世帯数(世帯),(男女計)人口(人),(男)人口(人),(女)人口(人)
5212,秋田県,大仙市,仙北地域,2015,2403,7206,3392,3814
5212,秋田県,大仙市,太田地域,2015,2084,6554,3055,3499
5212,秋田県,大仙市,全域,2016,31311,83578,39168,44410
5212,秋田県,大仙市,大曲地域,2016,14897,36319,17011,19308
5212,秋田県,大仙市,神岡地域,2016,1830,5241,2407,2834
5212,秋田県,大仙市,西仙北地域,2016,3051,8479,3969,4510
5212,秋田県,大仙市,中仙地域,2016,3209,9649,4589,5060
5212,秋田県,大仙市,協和地域,2016,2566,6712,3149,3563
5212,秋田県,大仙市,南外地域,2016,1280,3635,1701,1934
5212,秋田県,大仙市,仙北地域,2016,2410,7134,3357,3777
5212,秋田県,大仙市,太田地域,2016,2068,6409,2985,3424
5212,秋田県,大仙市,全域,2017,31348,82468,38672,43796
5212,秋田県,大仙市,大曲地域,2017,14998,36191,16958,19233
5212,秋田県,大仙市,神岡地域,2017,1829,5182,2388,2794
5212,秋田県,大仙市,西仙北地域,2017,3048,8240,3845,4395
5212,秋田県,大仙市,中仙地域,2017,3191,9441,4502,4939
5212,秋田県,大仙市,協和地域,2017,2544,6581,3088,3493
5212,秋田県,大仙市,南外地域,2017,1264,3537,1659,1878
5212,秋田県,大仙市,仙北地域,2017,2417,7038,3312,3726
5212,秋田県,大仙市,太田地域,2017,2057,6258,2920,3338
5212,秋田県,大仙市,全域,2018,31378,81144,38089,43055
5212,秋田県,大仙市,大曲地域,2018,15030,35884,16855,19029
5212,秋田県,大仙市,神岡地域,2018,1823,5063,2333,2730
5212,秋田県,大仙市,西仙北地域,2018,3035,8041,3760,4281
5212,秋田県,大仙市,中仙地域,2018,3214,9268,4410,4858
5212,秋田県,大仙市,協和地域,2018,2528,6390,3005,3385
5212,秋田県,大仙市,南外地域,2018,1257,3418,1601,1817
5212,秋田県,大仙市,仙北地域,2018,2436,6939,3264,3675
5212,秋田県,大仙市,太田地域,2018,2055,6141,2861,3280
5212,秋田県,大仙市,全域,2019,31461,79930,37580,42350
5212,秋田県,大仙市,大曲地域,2019,15128,35636,16782,18854
5212,秋田県,大仙市,神岡地域,2019,1817,4958,2283,2675
5212,秋田県,大仙市,西仙北地域,2019,3025,7832,3651,4181
5212,秋田県,大仙市,中仙地域,2019,3203,9059,4317,4742
5212,秋田県,大仙市,協和地域,2019,2514,6251,2954,3297
5212,秋田県,大仙市,南外地域,2019,1252,3317,1562,1755
5212,秋田県,大仙市,仙北地域,2019,2464,6878,3229,3649
5212,秋田県,大仙市,太田地域,2019,2058,5999,2802,3197
5212,秋田県,大仙市,全域,2020,31484,78603,36912,41691
5212,秋田県,大仙市,大曲地域,2020,15163,35335,16590,18745
5212,秋田県,大仙市,神岡地域,2020,1840,4923,2262,2661
