市町村コード,都道府県名,市町村名,地域,年度,申請件数総数（件）,申請件数（5人槽）（件）,申請件数（6～7人槽）（件）,申請件数（8～10人槽）（件）,補助金決定額総額（千円）,補助金決定額（5人槽）（千円）,補助金決定額（6～7人槽）（千円）,補助金決定額（8～10人槽）（千円）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2008(平成20）,10,2,7,1,"5,106",822,"3,598",686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2009(平成21）,2,1,1,0,925,411,514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2010(平成22）,4,1,3,0,"1,953",411,"1,542",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2011(平成23）,12,6,5,1,"5,722","2,466","2,570",686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2012(平成24）,11,6,5,0,"5,036","2,466","2,570",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2013(平成25）,7,5,2,0,"3,083","2,055","1,028",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2014(平成26）,3,2,1,0,"1,528",940,588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2015(平成27）,18,15,3,0,"8,814","7,050","1,764",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2016(平成28）,10,8,2,0,"4,936","3,760","1,176",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2017(平成29）,6,4,2,0,"3,056","1,880","1,176",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2018(平成30）,3,3,0,0,"1,410","1,410",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2019(令和1）,4,3,1,0,"1,688","1,174",514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,仙北地域,2020(令和2）,3,2,1,0,"1,336",822,514,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2005(平成17),18,0,17,1,"12,001",0,"11,169",832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2006(平成18）,19,2,17,0,"12,293","1,124","11,169",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2007(平成19）,17,2,15,0,"8,556",846,"7,710",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2008(平成20）,11,1,10,0,"5,551",411,"5,140",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2009(平成21）,9,0,9,0,"4,626",0,"4,626",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2010(平成22）,7,1,6,0,"3,495",411,"3,084",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2011(平成23）,8,1,7,0,"4,009",411,"3,598",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2012(平成24）,8,2,6,0,"3,906",822,"3,084",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05212,秋田県,大仙市,太田地域,2013(平成25）,7,2,5,0,"3,392",822,"2,570",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
